,Year,Film,Nominees,FilmLink,Won
323,1996 (69th),La Salla,Richard Condie,/wiki/La_Salla,False
324,1996 (69th),Wat's Pig,Peter Lord,/wiki/Wat%27s_Pig,False
325,1997 (70th),,,,False
326,1997 (70th),Geri's Game,Jan Pinkava,/wiki/Geri%27s_Game,True
327,1997 (70th),Famous Fred,Joanna Quinn,/wiki/Famous_Fred,False
328,1997 (70th),The Mermaid,Aleksandr Petrov,/wiki/Rusalka_(1996_film),False
329,1997 (70th),The Old Lady and the Pigeons,Sylvain Chomet,/wiki/The_Old_Lady_and_the_Pigeons,False
330,1997 (70th),Redux Riding Hood,Steve Moore,/wiki/Redux_Riding_Hood,False
331,1998 (71st),,,,False
332,1998 (71st),Bunny,Chris Wedge,/wiki/Bunny_(1998_film),True
333,1998 (71st),The Canterbury Tales,Christopher Grace & Jonathan Myerson,/wiki/The_Canterbury_Tales#Film_and_television,False
334,1998 (71st),Jolly Roger,Mark Baker,,False
335,1998 (71st),More,Steven Kalafer & Mark Osborne,/wiki/More_(1998_film),False
336,1998 (71st),When Life Departs,Stefan Fjeldmark & Karsten Kiilerich,/wiki/When_Life_Departs,False
337,1999 (72nd),,,,False
338,1999 (72nd),The Old Man and the Sea,Aleksandr Petrov,/wiki/The_Old_Man_and_the_Sea_(1999_film),True
339,1999 (72nd),3 Misses,Paul Driessen,,False
340,1999 (72nd),Humdrum,Peter Peake,/wiki/Humdrum,False
341,1999 (72nd),My Grandmother Ironed the King's Shirts,Torill Kove,/wiki/My_Grandmother_Ironed_the_King%27s_Shirts,False
342,1999 (72nd),When the Day Breaks,Wendy Tilby and Amanda Forbis,/wiki/When_the_Day_Breaks,False
343,2000 (73rd),,,,False
344,2000 (73rd),Father and Daughter,Michaël Dudok de Wit,/wiki/Father_and_Daughter_(film),True
345,2000 (73rd),The Periwig-Maker,Steffen & Annette Schäffler,/wiki/Periwig_Maker,False
346,2000 (73rd),Rejected,Don Hertzfeldt,/wiki/Rejected,False
347,2001 (74th),,,,False
348,2001 (74th),For the Birds,Ralph Eggleston,/wiki/For_the_Birds_(film),True
349,2001 (74th),Fifty Percent Grey,Seamus Byrne & Ruairí Robinson,,False
350,2001 (74th),Give Up Yer Aul Sins,Cathal Gaffney & Darragh O'Connell,,False
351,2001 (74th),Strange Invaders,Cordell Barker,/wiki/Strange_Invaders_(2002_film),False
352,2001 (74th),Stubble Trouble,Joseph E. Merideth,/wiki/Stubble_Trouble,False
353,2002 (75th),,,,False
354,2002 (75th),The ChubbChubbs!,Eric Armstrong,/wiki/The_ChubbChubbs!,True
355,2002 (75th),The Cathedral,Tomek Baginski,/wiki/The_Cathedral_(2002_film),False
356,2002 (75th),Das Rad,Chris Stenner & Heidi Wittlinger,/wiki/Das_Rad,False
357,2002 (75th),Mike's New Car,Pete Docter & Roger L. Gould,/wiki/Mike%27s_New_Car,False
