,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
191,1974 (47th),Fred Astaire,Harlee Claiborne,The Towering Inferno,[48],/wiki/The_Towering_Inferno,False,,
192,1974 (47th),Jeff Bridges,Lightfoot,Thunderbolt and Lightfoot,[48],/wiki/Thunderbolt_and_Lightfoot,False,,
193,1974 (47th),Michael V. Gazzo,Frank Pentangeli,The Godfather Part II,[48],/wiki/The_Godfather_Part_II,True,,
194,1974 (47th),Lee Strasberg,Hyman Roth,The Godfather Part II,[48],/wiki/The_Godfather_Part_II,True,,
195,1975 (48th),George Burns ‡,Al Lewis,The Sunshine Boys,[49],/wiki/The_Sunshine_Boys_(1975_film),True,,
196,1975 (48th),Brad Dourif,Billy Bibbit,One Flew Over the Cuckoo's Nest,[49],/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),False,,
197,1975 (48th),Burgess Meredith,Harry Greener,The Day of the Locust,[49],/wiki/The_Day_of_the_Locust_(film),False,,
198,1975 (48th),Chris Sarandon,Leon Shermer,Dog Day Afternoon,[49],/wiki/Dog_Day_Afternoon,False,,
199,1975 (48th),Jack Warden,Lester Karpf,Shampoo,[49],/wiki/Shampoo_(film),False,,
200,1976 (49th),Jason Robards ‡,Ben Bradlee,All the President's Men,[50],/wiki/All_the_President%27s_Men_(film),True,,
201,1976 (49th),Ned Beatty,Arthur Jensen,Network,[50],/wiki/Network_(1976_film),False,,
202,1976 (49th),Burgess Meredith,Mickey Goldmill,Rocky,[50],/wiki/Rocky,False,,
203,1976 (49th),Laurence Olivier,Dr. Christian Szell,Marathon Man,[50],/wiki/Marathon_Man_(film),False,,
204,1976 (49th),Burt Young,Paulie Pennino,Rocky,[50],/wiki/Rocky,False,,
205,1977 (50th),Jason Robards ‡,Dashiell Hammett,Julia,[51],/wiki/Julia_(1977_film),True,,
206,1977 (50th),Mikhail Baryshnikov,Yuri Kopeikine,The Turning Point,[51],/wiki/The_Turning_Point_(1977_film),False,,
207,1977 (50th),Peter Firth,Alan Strang,Equus,[51],/wiki/Equus_(film),False,,
208,1977 (50th),Alec Guinness,Obi-Wan Kenobi,Star Wars,[51],/wiki/Star_Wars_(film),False,,
209,1977 (50th),Maximilian Schell,Johann,Julia,[51],/wiki/Julia_(1977_film),True,,
