,Year,Film,Nominees,FilmLink,Won
38,1947 (20th),Passport to Nowhere,Frederic Ullman Jr.,/wiki/Passport_to_Nowhere,False
39,1947 (20th),School in the Mailbox,Australian News & Information Bureau,/wiki/School_in_the_Mailbox,False
40,1948 (21st),,,,False
41,1948 (21st),Toward Independence,United States Army,/wiki/Toward_Independence,True
42,1948 (21st),Heart to Heart,Herbert Morgan,/wiki/Heart_to_Heart_(1949_film),False
43,1948 (21st),Operation Vittles,United States Army Air Force,/wiki/Operation_Vittles_(film),False
44,1949 (22nd),,,,False
45,1949 (22nd),A Chance to Live (TIE),Richard de Rochemont,,False
46,1949 (22nd),So Much for So Little (TIE),Edward Selzer,,False
47,1949 (22nd),1848,French Cinema General Cooperative,/wiki/1848_(film),False
48,1949 (22nd),The Rising Tide,"St. Francis-Xavier University, Antigonish, Nova Scotia",/wiki/The_Rising_Tide_(film),False
49,1950 (23rd),,,,False
50,1950 (23rd),Why Korea?,Edmund Reek,/wiki/Why_Korea%3F,True
51,1950 (23rd),The Fight: Science Against Cancer,Guy Glover,/wiki/The_Fight:_Science_Against_Cancer,False
52,1950 (23rd),The Stairs,"Film Documents, Inc.",/wiki/The_Stairs_(1950_film),False
53,1951 (24th),,,,False
54,1951 (24th),Benjy,Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital [note 2][6],/wiki/Benjy_(film),True
55,1951 (24th),One Who Came Back,"Owen Crump (Film sponsored by the Disabled American Veterans, in cooperation with the United States Department of Defense and the Association of Motion Picture Producers)",/wiki/One_Who_Came_Back,False
56,1951 (24th),The Seeing Eye,Gordon Hollingshead,/wiki/The_Seeing_Eye_(film),False
57,1952 (25th),,,,False
58,1952 (25th),Neighbours,Norman McLaren [note 2],/wiki/Neighbours_(1952_film),True
59,1952 (25th),Devil Take Us,Herbert Morgan,/wiki/Devil_Take_Us,False
60,1952 (25th),The Garden Spider (Epeira Diadema),Alberto Ancilotto,/wiki/The_Garden_Spider,False
61,1952 (25th),Man Alive!,Stephen Bosustow,/wiki/Man_Alive!_(film),False
62,1953 (26th),,,,False
63,1953 (26th),The Alaskan Eskimo,Walt Disney,/wiki/The_Alaskan_Eskimo,True
64,1953 (26th),The Living City,John Barnes,/wiki/The_Living_City,False
65,1953 (26th),Operation Blue Jay,United States Army Signal Corps,/wiki/Operation_Blue_Jay_(film),False
66,1953 (26th),They Planted a Stone,James Carr,/wiki/They_Planted_a_Stone,False
67,1953 (26th),The Word,John Healy and John Adams,/wiki/The_Word_(1953_film),False
68,1954 (27th),,,,False
69,1954 (27th),Thursday's Children,World Wide Pictures and Morse Films,/wiki/Thursday%27s_Children,True
70,1954 (27th),Jet Carrier,Otto Lang,/wiki/Jet_Carrier,False
71,1954 (27th),Rembrandt: A Self-Portrait,Morrie Roizman,/wiki/Rembrandt:_A_Self-Portrait,False
72,1955 (28th),,,,False
73,1955 (28th),Men Against the Arctic,Walt Disney,/wiki/Men_Against_the_Arctic,True
74,1955 (28th),The Battle of Gettysburg,Dore Schary,/wiki/The_Battle_of_Gettysburg_(1955_film),False
75,1955 (28th),The Face of Lincoln,Wilbur T. Blume,/wiki/The_Face_of_Lincoln,False
76,1956 (29th),,,,False
77,1956 (29th),The True Story of the Civil War,Louis Clyde Stoumen,/wiki/The_True_Story_of_the_Civil_War,True
78,1956 (29th),A City Decides,"Charles Guggenheim & Associates, Inc.",/wiki/A_City_Decides,False
79,1956 (29th),The Dark Wave,John Healy,/wiki/The_Dark_Wave,False
80,1956 (29th),The House Without a Name,Valentine Davies,/wiki/The_House_Without_a_Name,False
81,1956 (29th),Man in Space,Ward Kimball,/wiki/Man_in_Space,False
82,1957 (30th),,,,False
83,1957 (30th),No award given,No award given,,False
84,1958 (31st),,,,False
85,1958 (31st),Ama Girls,Ben Sharpsteen,/wiki/Ama_Girls,True
86,1958 (31st),Employees Only,Kenneth G. Brown,/wiki/Employees_Only,False
87,1958 (31st),Journey into Spring,Ian Ferguson,/wiki/Journey_into_Spring,False
88,1958 (31st),The Living Stone,Tom Daly,/wiki/The_Living_Stone,False
89,1958 (31st),Overture,Thorold Dickinson,/wiki/Overture_(1958_film),False
90,1959 (32nd),,,,False
91,1959 (32nd),Glass,Bert Haanstra,/wiki/Glass_(1958_film),True
92,1959 (32nd),Donald in Mathmagic Land,Walt Disney,/wiki/Donald_in_Mathmagic_Land,False
93,1959 (32nd),From Generation to Generation,Edward F. Cullen,/wiki/From_Generation_to_Generation,False
94,1960 (33rd),,,,False
95,1960 (33rd),Giuseppina,James Hill,/wiki/Giuseppina,True
96,1960 (33rd),Beyond Silence,United States Information Agency,/wiki/Beyond_Silence_(1960_film),False
97,1960 (33rd),A City Called Copenhagen,Statens Filmcentral and The Danish Government Film Office,/wiki/A_City_Called_Copenhagen,False
98,1960 (33rd),George Grosz' Interregnum,Charles Carey and Altina Carey,/wiki/George_Grosz%27_Interregnum,False
99,1960 (33rd),Universe,Colin Low,/wiki/Universe_(1960_film),False
100,1961 (34th),,,,False
101,1961 (34th),Project Hope,Frank P. Bibas,/wiki/Project_Hope_(film),True
102,1961 (34th),Breaking the Language Barrier,United States Air Force,/wiki/Breaking_the_Language_Barrier,False
103,1961 (34th),Cradle of Genius,Jim O'Connor and Tom Hayes,/wiki/Cradle_of_Genius,False
104,1961 (34th),Kahl,Dido-Film-GmbH,/wiki/Kahl_(film),False
105,1961 (34th),L'Uomo in Grigio (The Man in Gray),Benedetto Benedetti,/wiki/The_Man_in_Gray,False
106,1962 (35th),,,,False
107,1962 (35th),Dylan Thomas,Jack Howells,/wiki/Dylan_Thomas_(film),True
108,1962 (35th),The John Glenn Story,William L. Hendricks,/wiki/The_John_Glenn_Story,False
109,1962 (35th),The Road to the Wall,Robert Saudek,/wiki/The_Road_to_the_Wall,False
110,1963 (36th),,,,False
111,1963 (36th),Chagall,Simon Schiffrin,/wiki/Chagall_(film),True
112,1963 (36th),The Five Cities of June,George Stevens Jr.,/wiki/The_Five_Cities_of_June,False
